,description.sold_price
822,197000.0
4052,542500.0
6115,255000.0
334,194628.0
7230,1000000.0
6458,315000.0
1541,218829.0
6558,180000.0
7445,309900.0
4644,103000.0
5698,405000.0
2950,525000.0
8033,450000.0
2102,262500.0
3131,439000.0
5220,705000.0
7465,106000.0
7849,120000.0
3047,247400.0
6514,390000.0
3444,450000.0
6850,283000.0
363,194900.0
7845,436000.0
2209,320000.0
5892,200000.0
4446,349000.0
1677,194900.0
7080,357000.0
4509,214000.0
5746,180000.0
1276,220000.0
6465,62500.0
4368,240000.0
2276,29700.0
4007,645000.0
913,487000.0
4872,359900.0
7982,68000.0
377,26000.0
1473,670000.0
4409,160000.0
7567,390000.0
2061,545000.0
7086,500100.0
6992,261900.0
7025,163000.0
489,390000.0
4546,100000.0
3051,220000.0
2163,375000.0
5251,275000.0
5382,439000.0
2686,759000.0
3504,320000.0
4835,425000.0
7387,234000.0
6099,300000.0
6116,200000.0
7852,180000.0
3320,505000.0
7384,160000.0
4422,215000.0
3379,440000.0
725,178000.0
4884,345000.0
7160,450000.0
7491,315000.0
8008,89900.0
4221,153000.0
3613,449000.0
717,149900.0
1735,365000.0
1569,530000.0
1456,610000.0
2785,142000.0
6825,401000.0
1107,215000.0
1409,465000.0
2900,519450.0
3147,260000.0
7874,288000.0
6082,305000.0
3376,820000.0
5933,379990.0
951,145000.0
1108,362500.0
7002,362000.0
4945,340000.0
2666,515000.0
3277,147000.0
3109,194900.0
7292,430000.0
3828,375000.0
2581,380000.0
702,609000.0
1759,519450.0
7346,454000.0
7287,400000.0
3075,467500.0
3922,420000.0
3312,371500.0
7256,1000000.0
3077,226000.0
7362,97000.0
929,412000.0
4105,190000.0
3041,350000.0
882,147000.0
1465,621000.0
7859,470000.0
7381,235000.0
7490,509000.0
6843,250000.0
6712,237000.0
524,143500.0
3868,270000.0
5840,775000.0
7494,707500.0
3528,207000.0
5481,410000.0
7478,380000.0
7891,299000.0
7050,185000.0
1600,305000.0
3108,810000.0
4776,762000.0
6368,530000.0
6370,159900.0
5258,210000.0
2844,69000.0
7869,240000.0
4039,425000.0
4978,385000.0
7044,109000.0
8081,150000.0
5911,272000.0
6408,520000.0
6118,380000.0
556,315000.0
5492,89500.0
3750,271000.0
6096,610000.0
6565,470000.0
4547,261000.0
7172,448700.0
5228,299000.0
3865,206000.0
3264,140000.0
7060,212000.0
4324,599000.0
5855,392000.0
2070,858000.0
2860,237050.0
4031,410500.0
7642,229000.0
8140,165900.0
5284,180000.0
428,980000.0
5491,250000.0
6180,149900.0
5628,360000.0
1339,240300.0
1218,437000.0
7379,172000.0
8134,160000.0
3481,550000.0
5597,630000.0
6087,440000.0
965,283000.0
4692,705000.0
6363,225000.0
5787,260000.0
1116,350000.0
7320,313000.0
7204,400000.0
774,468000.0
5030,430000.0
2863,167000.0
4962,370000.0
3634,750000.0
1435,460000.0
649,331500.0
2482,485000.0
654,320000.0
3854,135000.0
153,600000.0
2192,305000.0
366,415000.0
4922,288000.0
5948,62000.0
1690,110000.0
3845,640000.0
7227,675000.0
4538,220000.0
1584,379000.0
1679,236000.0
1751,470000.0
3253,150000.0
4844,164900.0
7986,236000.0
1287,214000.0
5826,530000.0
4925,545900.0
5399,570000.0
4634,255000.0
2791,105000.0
8136,360000.0
3248,142000.0
582,705000.0
3708,29700.0
2924,585000.0
3099,228000.0
214,675000.0
3883,747000.0
2460,214400.0
8025,245000.0
883,339000.0
7651,266900.0
5596,858000.0
4161,356000.0
1608,675000.0
1478,556000.0
4149,290000.0
4458,285000.0
7140,335000.0
7531,250000.0
3638,214400.0
6484,155000.0
5929,280000.0
7182,460000.0
8030,155000.0
2054,323000.0
2917,225900.0
667,360000.0
678,187000.0
7992,108000.0
370,50000.0
7561,450000.0
2595,565000.0
6219,580000.0
6788,335000.0
7149,276000.0
4082,303000.0
5896,255900.0
766,785000.0
7514,725000.0
5703,360000.0
5898,375000.0
7947,65000.0
5005,460000.0
6450,140000.0
1386,599900.0
7843,745000.0
2014,475000.0
1411,349500.0
7155,349500.0
4680,200000.0
781,245000.0
4066,230000.0
3495,235001.0
4430,135000.0
4743,425000.0
4506,42000.0
5226,375000.0
2093,360000.0
2859,225000.0
3429,985000.0
372,875000.0
1997,229000.0
3758,152500.0
911,238000.0
2611,420000.0
17,275000.0
1368,315000.0
2856,145000.0
5822,465000.0
919,399000.0
3374,335500.0
3990,739900.0
2614,820000.0
6489,675000.0
2121,349000.0
5273,200000.0
6031,495000.0
5119,433000.0
7166,607900.0
8115,75000.0
1333,283500.0
7834,500000.0
1723,155000.0
3328,387900.0
542,262500.0
2662,315000.0
5480,530000.0
7560,149900.0
2210,178000.0
5374,530000.0
3695,27500.0
6938,410000.0
8102,103000.0
4831,290000.0
1220,356000.0
5863,185000.0
574,207000.0
4885,432000.0
4939,299000.0
5390,540000.0
7361,315000.0
5410,135000.0
6924,425000.0
6993,169900.0
3847,415000.0
3684,38500.0
1744,495000.0
7706,400000.0
5814,265000.0
1165,405000.0
473,200000.0
5663,590000.0
5482,210000.0
6460,197000.0
3450,895000.0
393,69000.0
6048,350500.0
4247,147000.0
4001,345000.0
4898,436000.0
3459,999999.0
7497,246500.0
6473,135000.0
1469,1000000.0
7383,332500.0
855,362000.0
3561,350000.0
2811,220000.0
4984,826000.0
2842,75000.0
1493,214000.0
3502,305000.0
2169,439900.0
3848,707000.0
1753,260000.0
6886,264900.0
6841,217000.0
6315,140000.0
5601,307000.0
743,439900.0
1606,570000.0
4323,240300.0
5641,550000.0
516,261000.0
6071,259900.0
3414,515000.0
1280,315000.0
5385,430000.0
7533,374000.0
6512,623000.0
5071,350000.0
6826,800000.0
2913,330000.0
4569,330000.0
5025,450000.0
6312,300000.0
5611,325000.0
8100,175000.0
1267,163000.0
5438,390000.0
1656,244500.0
4707,515000.0
6296,360000.0
7177,339000.0
4299,220000.0
1833,432000.0
1088,340000.0
4460,747000.0
406,245000.0
4429,187000.0
1390,245000.0
3839,140267.0
4243,163000.0
5772,95900.0
2675,292500.0
1238,223000.0
846,169900.0
1591,225000.0
5123,777000.0
4937,375000.0
2386,362500.0
4954,820000.0
3145,470000.0
7518,437000.0
3092,299000.0
3498,265000.0
1282,136000.0
6156,275000.0
7887,555000.0
558,203000.0
5859,220000.0
1635,718750.0
4264,62000.0
8125,330000.0
1109,227000.0
2024,214000.0
3250,188000.0
2,205000.0
3102,172000.0
2586,555000.0
400,135000.0
4839,345000.0
7529,340000.0
1156,335000.0
4729,93950.0
4095,200000.0
934,250000.0
7301,350000.0
3524,200000.0
1594,258000.0
4406,120000.0
3475,570000.0
1732,485000.0
398,480000.0
769,530000.0
5758,136000.0
6176,280000.0
5833,595000.0
2202,450000.0
4244,172500.0
3055,710000.0
2217,326000.0
2838,197000.0
2893,93950.0
3863,155350.0
7457,632500.0
6172,241000.0
712,60000.0
797,315000.0
3761,255900.0
4042,400000.0
3810,310000.0
2731,318000.0
3800,169000.0
5235,475000.0
6808,750000.0
6285,330000.0
5660,651000.0
1663,660000.0
3579,280000.0
7084,465000.0
5394,490000.0
6730,122500.0
6714,229000.0
1995,237000.0
563,485000.0
3851,262500.0
3432,410000.0
3866,324900.0
3632,395000.0
925,440000.0
4253,95000.0
7065,280000.0
4843,250000.0
4555,143500.0
16,58000.0
2827,163000.0
894,509000.0
589,335000.0
872,298800.0
1258,434500.0
5820,315000.0
5765,162000.0
2129,295000.0
3441,365000.0
2502,371000.0
234,120000.0
4764,295000.0
2496,450000.0
2447,350500.0
5205,441000.0
3428,380000.0
6705,58000.0
5828,610000.0
1380,595000.0
4450,425000.0
6703,232000.0
6440,112000.0
3786,345000.0
1201,383000.0
2134,65000.0
1168,241000.0
6913,280000.0
20,350000.0
4448,210000.0
5747,260000.0
514,85000.0
4752,200000.0
4903,745000.0
7062,234000.0
6792,312000.0
1125,360000.0
1352,255900.0
5935,172900.0
3042,225900.0
7273,1000000.0
6129,280000.0
3162,290000.0
2826,26000.0
3483,960000.0
6065,382000.0
4660,388000.0
6054,490000.0
4553,280000.0
8013,79900.0
6531,200000.0
3838,115000.0
1484,675000.0
160,420000.0
3768,150000.0
6548,432000.0
8148,322000.0
1623,345000.0
8063,765000.0
1301,332500.0
5256,280000.0
5493,225000.0
1586,48500.0
7188,410000.0
681,328350.0
4619,225000.0
3513,345000.0
6873,145000.0
709,169000.0
1177,450000.0
3118,200000.0
6308,322000.0
7358,25000.0
656,339000.0
