,list_date,description.year_built,description.baths_3qtr,description.sold_date,description.sold_price,description.baths_full,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.garage,description.stories,description.beds,location.address.postal_code,location.address.state,location.address.city,location.address.state_code,location.county.name,basement,central_air,community_outdoor_space,dishwasher,fireplace,forced_air,hardwood_floors,laundry_room,recreation_facilities,shopping,washer_dryer,apartment,condos,duplex_triplex,land,mobile,multi_family,single_family,townhomes
30,2023-12-19T18:08:22.000000Z,1998.0,0.0,2024-01-16,129900.0,2.0,0.0,11761.0,1478.0,2.0,,2.0,1.0,3.0,36117,Alabama,Montgomery,AL,Montgomery,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
31,2023-11-10T14:20:36.000000Z,1945.0,0.0,2024-01-16,88500.0,2.0,0.0,6534.0,1389.0,2.0,,1.0,2.0,4.0,36107,Alabama,Montgomery,AL,Montgomery,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
32,2023-12-19T18:08:22.000000Z,1969.0,0.0,2024-01-16,145000.0,2.0,0.0,17424.0,2058.0,2.0,,0.0,1.0,3.0,36109,Alabama,Montgomery,AL,Montgomery,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
33,2023-07-05T16:47:40.000000Z,1955.0,0.0,2024-01-16,65000.0,2.0,0.0,9712.0,1432.0,2.0,,0.0,1.0,3.0,36107,Alabama,Montgomery,AL,Montgomery,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
34,2023-10-29T17:55:28.000000Z,1984.0,0.0,2024-01-12,169000.0,2.0,0.0,10890.0,1804.0,2.0,,0.0,1.0,3.0,36106,Alabama,Montgomery,AL,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,2023-12-08T14:11:39.000000Z,1999.0,0.0,2024-01-12,180000.0,2.0,0.0,12632.0,1476.0,2.0,,0.0,1.0,3.0,36117,Alabama,Montgomery,AL,Montgomery,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
36,2023-11-27T22:50:49.000000Z,2001.0,0.0,2024-01-12,260000.0,2.0,0.0,12632.0,1888.0,2.0,,0.0,1.0,4.0,36117,Alabama,Montgomery,AL,Montgomery,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
37,2023-02-24T15:00:22.000000Z,1962.0,0.0,2024-01-12,60000.0,2.0,0.0,13068.0,1722.0,2.0,,0.0,1.0,3.0,36116,Alabama,Montgomery,AL,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,2023-11-30T13:50:41.000000Z,1965.0,0.0,2024-01-12,159000.0,2.0,0.0,11326.0,1635.0,2.0,,2.0,1.0,3.0,36109,Alabama,Montgomery,AL,Montgomery,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
39,2023-09-01T00:58:27.000000Z,1974.0,0.0,2024-01-12,424900.0,2.0,1.0,740520.0,3339.0,3.0,,0.0,2.0,3.0,36108,Alabama,Montgomery,AL,Montgomery,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
40,2022-09-02T18:18:05.000000Z,0.0,0.0,2024-01-12,370000.0,0.0,0.0,3397680.0,,0.0,,0.0,0.0,0.0,36105,Alabama,Montgomery,AL,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,2023-12-08T00:50:40.000000Z,1969.0,0.0,2024-01-12,140000.0,2.0,0.0,14375.0,1576.0,2.0,,0.0,1.0,3.0,36117,Alabama,Montgomery,AL,Montgomery,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42,2023-12-13T22:08:44.000000Z,1954.0,0.0,2024-01-12,149900.0,1.0,0.0,13504.0,1736.0,1.0,,0.0,1.0,3.0,36109,Alabama,Montgomery,AL,Montgomery,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
43,2023-12-14T16:29:30.000000Z,1966.0,0.0,2024-01-12,45000.0,1.0,0.0,4356.0,1434.0,1.0,,0.0,1.0,2.0,36104,Alabama,Montgomery,AL,Montgomery,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
44,2023-08-28T19:26:36.000000Z,2006.0,0.0,2024-01-11,310000.0,2.0,0.0,13068.0,2134.0,2.0,,2.0,1.0,4.0,36117,Alabama,Montgomery,AL,Montgomery,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0
45,2023-10-25T19:07:59.000000Z,1986.0,0.0,2024-01-10,147000.0,2.0,0.0,6970.0,1650.0,2.0,,0.0,1.0,3.0,36111,Alabama,Montgomery,AL,Montgomery,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
46,2023-07-25T20:45:25.000000Z,1968.0,0.0,2024-01-10,195000.0,2.0,0.0,16553.0,2264.0,2.0,,2.0,1.0,5.0,36116,Alabama,Montgomery,AL,Montgomery,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
47,2023-11-09T21:32:22.000000Z,1968.0,0.0,2024-01-09,136000.0,2.0,0.0,16988.0,1752.0,2.0,,2.0,1.0,3.0,36116,Alabama,Montgomery,AL,Montgomery,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
48,2024-01-10T03:11:24.000000Z,1958.0,0.0,2024-01-09,31500.0,1.0,0.0,11326.0,961.0,1.0,,0.0,1.0,3.0,36111,Alabama,Montgomery,AL,Montgomery,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
49,2023-11-07T00:05:24.000000Z,1967.0,0.0,2024-01-08,178000.0,2.0,0.0,12632.0,1892.0,2.0,,0.0,1.0,4.0,36109,Alabama,Montgomery,AL,Montgomery,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
50,2023-12-05T03:11:36.000000Z,1975.0,0.0,2024-01-08,172500.0,2.0,0.0,11326.0,1699.0,2.0,,0.0,1.0,4.0,36109,Alabama,Montgomery,AL,Montgomery,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
51,2023-10-24T22:03:07.000000Z,1962.0,0.0,2024-01-08,150000.0,2.0,0.0,67954.0,1833.0,2.0,,2.0,1.0,3.0,36116,Alabama,Montgomery,AL,Montgomery,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
52,2023-09-08T14:32:07.000000Z,1945.0,0.0,2024-01-08,170000.0,2.0,1.0,313632.0,3092.0,3.0,,0.0,1.0,3.0,36116,Alabama,Montgomery,AL,Montgomery,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
53,2023-11-06T18:42:05.000000Z,1957.0,0.0,2024-01-05,125000.0,1.0,0.0,12632.0,1380.0,1.0,,0.0,1.0,3.0,36109,Alabama,Montgomery,AL,Montgomery,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
54,2023-11-09T19:26:26.000000Z,1984.0,0.0,2024-01-05,162000.0,2.0,0.0,6098.0,1539.0,2.0,,0.0,1.0,3.0,36117,Alabama,Montgomery,AL,Montgomery,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
