,description.sold_price
5684,320000.0
3252,150000.0
4102,145000.0
763,500100.0
8077,225000.0
7410,28600.0
347,59000.0
5493,225000.0
7191,558000.0
6458,315000.0
2913,330000.0
4030,375000.0
429,259900.0
4545,85000.0
5792,53591.0
7861,1090000.0
5374,530000.0
1846,271500.0
6397,388000.0
509,220000.0
281,245000.0
21,274500.0
3864,269000.0
1992,350000.0
2823,220000.0
6547,825000.0
1709,330000.0
3771,260000.0
883,339000.0
1819,1701500.0
1464,2350000.0
2360,656700.0
1848,350000.0
5165,435000.0
7498,560000.0
4893,271500.0
7110,562000.0
611,550000.0
1445,1220000.0
4037,750000.0
110,534900.0
6043,430000.0
4280,1122.0
3973,534000.0
7274,457000.0
1493,214000.0
2572,433000.0
2811,220000.0
5024,850000.0
7513,400000.0
6505,1500000.0
1304,212000.0
3796,255000.0
3925,12900.0
6551,436000.0
4087,378000.0
7510,390000.0
2203,263626.0
7842,432000.0
4461,262500.0
5673,455000.0
5461,225900.0
7289,368000.0
1370,415000.0
4311,295000.0
1539,360000.0
4394,170000.0
3753,347000.0
5475,200000.0
3183,637500.0
560,858000.0
2635,405000.0
551,320000.0
1291,185000.0
8013,79900.0
3747,259000.0
7066,232000.0
23,237000.0
7555,250000.0
7754,689900.0
757,357000.0
527,145000.0
819,235000.0
2467,395000.0
7880,160000.0
2386,362500.0
1204,270000.0
1299,155000.0
2406,325000.0
1368,315000.0
5075,305000.0
345,244500.0
7174,350000.0
7827,359900.0
3633,374000.0
7883,485000.0
4135,1660000.0
5383,789900.0
1681,112000.0
308,525000.0
4430,135000.0
2113,277000.0
2673,389500.0
2096,640000.0
731,63000.0
7864,349900.0
2603,895000.0
4702,575000.0
5709,707000.0
6511,1550000.0
4908,389900.0
8088,417000.0
3590,261250.0
5328,115000.0
6047,465000.0
7384,160000.0
5244,220000.0
6477,89900.0
6149,792600.0
5,10000.0
4634,255000.0
6418,244500.0
7628,219900.0
2735,215000.0
2372,212500.0
220,498000.0
7158,629000.0
3757,200000.0
3851,262500.0
6195,475000.0
7490,509000.0
7093,117777.0
6025,760000.0
1488,42900.0
6086,350000.0
3831,283000.0
2411,635000.0
5002,810000.0
1109,227000.0
7010,220000.0
7328,903000.0
5150,895000.0
3540,718800.0
7747,705000.0
6471,480000.0
7419,2500.0
668,134000.0
6809,425000.0
5726,206000.0
4880,690000.0
2617,440000.0
6813,400000.0
2438,366000.0
2626,1500000.0
7086,500100.0
2179,54167.0
707,245000.0
2611,420000.0
2268,20900.0
7875,159000.0
426,76000.0
5821,373000.0
2605,287500.0
7205,910000.0
6405,284900.0
4229,1299000.0
2918,188000.0
3439,314000.0
7434,99000.0
2455,374000.0
5358,133000.0
4977,375000.0
2697,239000.0
7368,214000.0
4356,51860.0
7013,238000.0
6184,585000.0
2279,1122.0
854,162500.0
579,420000.0
1726,117000.0
784,412000.0
6434,68000.0
781,245000.0
3639,400000.0
7027,380000.0
2710,184900.0
7417,86000.0
3109,194900.0
3586,325000.0
2205,240000.0
1467,1437500.0
5441,174632.0
3950,142000.0
1543,165900.0
1559,210000.0
3249,220000.0
394,79900.0
2596,850000.0
2088,221500.0
1338,259000.0
941,800000.0
1399,505000.0
5031,895000.0
1504,20700.0
6692,295000.0
2600,518444.0
4067,350000.0
3116,50000.0
2094,134000.0
6436,194900.0
138,450000.0
7891,299000.0
6276,140000.0
2150,178000.0
4223,188000.0
3760,185000.0
1207,425000.0
6844,280000.0
4664,287000.0
4696,390000.0
1100,345000.0
1430,350000.0
1818,359900.0
2382,282000.0
2873,485000.0
7270,675000.0
3594,307000.0
7058,332500.0
7288,450000.0
3729,191500.0
4123,748900.0
1674,472500.0
5783,115000.0
3789,64975.0
1727,135900.0
3718,42900.0
6726,703125.0
955,241000.0
5145,1195000.0
4896,485000.0
630,651000.0
4117,348900.0
3247,145000.0
1092,300000.0
885,290000.0
6621,430000.0
2004,225000.0
6911,1660000.0
5904,165000.0
5582,195000.0
3932,42000.0
724,172500.0
913,487000.0
553,545000.0
1531,281000.0
6518,755000.0
2261,16500.0
814,399900.0
5940,335000.0
6041,330000.0
4412,385000.0
408,225000.0
5397,93950.0
3543,266000.0
4425,215000.0
6929,400000.0
3707,1122.0
1255,106000.0
2184,220000.0
5588,200791.0
5219,292500.0
474,1375000.0
2560,1041750.0
6567,1090000.0
4635,63500.0
2890,490000.0
1083,260000.0
7542,118000.0
695,349000.0
5421,395000.0
2365,266000.0
4362,64975.0
1201,383000.0
1524,310000.0
4998,635000.0
477,1410000.0
7296,205000.0
3156,375000.0
6422,660000.0
4458,285000.0
5036,430000.0
3052,1915000.0
8155,140000.0
4684,670000.0
1920,534900.0
8125,330000.0
4018,429000.0
1589,103000.0
7508,290000.0
6112,565000.0
7179,285000.0
3326,340000.0
7042,274000.0
2652,515000.0
4100,366100.0
2563,475000.0
1716,89900.0
1555,300000.0
3893,733900.0
7993,402000.0
1717,145000.0
2914,270000.0
929,412000.0
7947,65000.0
208,330000.0
8122,220000.0
4535,385000.0
3701,27225.0
3611,515000.0
1452,1560000.0
6153,374000.0
1542,143500.0
2126,260000.0
3450,895000.0
765,530000.0
896,707500.0
8141,530000.0
606,1100000.0
4859,260000.0
6855,390000.0
7192,2125000.0
1340,599000.0
5350,637500.0
5842,245000.0
7853,448000.0
1593,325000.0
1636,174632.0
5116,1500000.0
7380,155000.0
495,467500.0
2192,305000.0
3430,555000.0
